Ano;UF;MUNICIPIO;NOME_INSTITUICAO;CODMUN_IBGE
201712;AC;ACRELANDIA;BCO DO BRASIL S.A.;1200013
201712;AC;BRASILEIA;BCO DO BRASIL S.A.;1200104
201712;AC;CRUZEIRO DO SUL;BCO DO BRASIL S.A.;1200203
201712;AC;CRUZEIRO DO SUL;BCO DO BRASIL S.A.;1200203
201712;AC;EPITACIOLANDIA;BCO DO BRASIL S.A.;1200252
201712;AC;FEIJO;BCO DO BRASIL S.A.;1200302
201712;AC;MANCIO LIMA;BCO DO BRASIL S.A.;1200336
201712;AC;PLACIDO DE CASTRO;BCO DO BRASIL S.A.;1200385
201712;AC;RIO BRANCO;BCO DO BRASIL S.A.;1200401
201712;AC;RIO BRANCO;BCO DO BRASIL S.A.;1200401
201712;AC;RIO BRANCO;BCO DO BRASIL S.A.;1200401
201712;AC;RIO BRANCO;BCO DO BRASIL S.A.;1200401
201712;AC;RIO BRANCO;BCO DO BRASIL S.A.;1200401
201712;AC;RIO BRANCO;BCO DO BRASIL S.A.;1200401
201712;AC;RIO BRANCO;BCO DO BRASIL S.A.;1200401
201712;AC;RIO BRANCO;BCO DO BRASIL S.A.;1200401
201712;AC;RIO BRANCO;BCO DO BRASIL S.A.;1200401
201712;AC;SENA MADUREIRA;BCO DO BRASIL S.A.;1200500
201712;AC;SENADOR GUIOMARD;BCO DO BRASIL S.A.;1200450
201712;AC;TARAUACA;BCO DO BRASIL S.A.;1200609
201712;AC;XAPURI;BCO DO BRASIL S.A.;1200708
201712;AL;AGUA BRANCA;BCO DO BRASIL S.A.;2700102
201712;AL;ARAPIRACA;BCO DO BRASIL S.A.;2700300
201712;AL;ARAPIRACA;BCO DO BRASIL S.A.;2700300
201712;AL;ATALAIA;BCO DO BRASIL S.A.;2700409
201712;AL;BATALHA;BCO DO BRASIL S.A.;2700706
201712;AL;BOCA DA MATA;BCO DO BRASIL S.A.;2701001
201712;AL;CAMPO ALEGRE;BCO DO BRASIL S.A.;2701407
201712;AL;COLONIA LEOPOLDINA;BCO DO BRASIL S.A.;2702108
201712;AL;CORURIPE;BCO DO BRASIL S.A.;2702306
201712;AL;DELMIRO GOUVEIA;BCO DO BRASIL S.A.;2702405
201712;AL;FEIRA GRANDE;BCO DO BRASIL S.A.;2702603
201712;AL;GIRAU DO PONCIANO;BCO DO BRASIL S.A.;2702900
201712;AL;IGACI;BCO DO BRASIL S.A.;2703106
201712;AL;IGREJA NOVA;BCO DO BRASIL S.A.;2703205
201712;AL;JUNQUEIRO;BCO DO BRASIL S.A.;2704005
201712;AL;LIMOEIRO DE ANADIA;BCO DO BRASIL S.A.;2704203
201712;AL;MACEIO;BCO DO BRASIL S.A.;2704302
201712;AL;MACEIO;BCO DO BRASIL S.A.;2704302
201712;AL;MACEIO;BCO DO BRASIL S.A.;2704302
201712;AL;MACEIO;BCO DO BRASIL S.A.;2704302
201712;AL;MACEIO;BCO DO BRASIL S.A.;2704302
201712;AL;MACEIO;BCO DO BRASIL S.A.;2704302
201712;AL;MACEIO;BCO DO BRASIL S.A.;2704302
201712;AL;MACEIO;BCO DO BRASIL S.A.;2704302
201712;AL;MACEIO;BCO DO BRASIL S.A.;2704302
201712;AL;MACEIO;BCO DO BRASIL S.A.;2704302
201712;AL;MACEIO;BCO DO BRASIL S.A.;2704302
201712;AL;MACEIO;BCO DO BRASIL S.A.;2704302
201712;AL;MACEIO;BCO DO BRASIL S.A.;2704302
201712;AL;MACEIO;BCO DO BRASIL S.A.;2704302
201712;AL;MACEIO;BCO DO BRASIL S.A.;2704302
201712;AL;MACEIO;BCO DO BRASIL S.A.;2704302
201712;AL;MACEIO;BCO DO BRASIL S.A.;2704302
201712;AL;MAJOR ISIDORO;BCO DO BRASIL S.A.;2704401
201712;AL;MARAGOGI;BCO DO BRASIL S.A.;2704500
201712;AL;MARAVILHA;BCO DO BRASIL S.A.;2704609
201712;AL;MARECHAL DEODORO;BCO DO BRASIL S.A.;2704708
201712;AL;MATRIZ DE CAMARAGIBE;BCO DO BRASIL S.A.;2705101
201712;AL;MURICI;BCO DO BRASIL S.A.;2705507
201712;AL;NOVO LINO;BCO DO BRASIL S.A.;2705606
201712;AL;OLHO D'AGUA DAS FLORES;BCO DO BRASIL S.A.;2705705
201712;AL;PALMEIRA DOS INDIOS;BCO DO BRASIL S.A.;2706307
201712;AL;PAO DE ACUCAR;BCO DO BRASIL S.A.;2706406
201712;AL;PENEDO;BCO DO BRASIL S.A.;2706703
201712;AL;PILAR;BCO DO BRASIL S.A.;2706901
201712;AL;PORTO CALVO;BCO DO BRASIL S.A.;2707305
201712;AL;QUEBRANGULO;BCO DO BRASIL S.A.;2707602
201712;AL;RIO LARGO;BCO DO BRASIL S.A.;2707701
201712;AL;SANTANA DO IPANEMA;BCO DO BRASIL S.A.;2708006
201712;AL;SAO JOSE DA LAJE;BCO DO BRASIL S.A.;2708303
201712;AL;SAO JOSE DA TAPERA;BCO DO BRASIL S.A.;2708402
201712;AL;SAO LUIS DO QUITUNDE;BCO DO BRASIL S.A.;2708501
201712;AL;SAO MIGUEL DOS CAMPOS;BCO DO BRASIL S.A.;2708600
201712;AL;SAO SEBASTIAO;BCO DO BRASIL S.A.;2708808
201712;AL;TAQUARANA;BCO DO BRASIL S.A.;2709103
201712;AL;TEOTONIO VILELA;BCO DO BRASIL S.A.;2709152
201712;AL;UNIAO DOS PALMARES;BCO DO BRASIL S.A.;2709301
201712;AL;VICOSA;BCO DO BRASIL S.A.;2709400
201712;AM;AUTAZES;BCO DO BRASIL S.A.;1300300
201712;AM;BARCELOS;BCO DO BRASIL S.A.;1300409
201712;AM;BOCA DO ACRE;BCO DO BRASIL S.A.;1300706
201712;AM;BORBA;BCO DO BRASIL S.A.;1300805
201712;AM;CARAUARI;BCO DO BRASIL S.A.;1301001
201712;AM;COARI;BCO DO BRASIL S.A.;1301209
201712;AM;EIRUNEPE;BCO DO BRASIL S.A.;1301407
201712;AM;HUMAITA;BCO DO BRASIL S.A.;1301704
201712;AM;IRANDUBA;BCO DO BRASIL S.A.;1301852
201712;AM;ITACOATIARA;BCO DO BRASIL S.A.;1301902
201712;AM;LABREA;BCO DO BRASIL S.A.;1302405
201712;AM;MANACAPURU;BCO DO BRASIL S.A.;1302504
201712;AM;MANAUS;BCO DO BRASIL S.A.;1302603
201712;AM;MANAUS;BCO DO BRASIL S.A.;1302603
201712;AM;MANAUS;BCO DO BRASIL S.A.;1302603
201712;AM;MANAUS;BCO DO BRASIL S.A.;1302603
201712;AM;MANAUS;BCO DO BRASIL S.A.;1302603
201712;AM;MANAUS;BCO DO BRASIL S.A.;1302603
201712;AM;MANAUS;BCO DO BRASIL S.A.;1302603
201712;AM;MANAUS;BCO DO BRASIL S.A.;1302603
201712;AM;MANAUS;BCO DO BRASIL S.A.;1302603
201712;AM;MANAUS;BCO DO BRASIL S.A.;1302603
201712;AM;MANAUS;BCO DO BRASIL S.A.;1302603
201712;AM;MANAUS;BCO DO BRASIL S.A.;1302603
201712;AM;MANAUS;BCO DO BRASIL S.A.;1302603
201712;AM;MANAUS;BCO DO BRASIL S.A.;1302603
201712;AM;MANAUS;BCO DO BRASIL S.A.;1302603
201712;AM;MANAUS;BCO DO BRASIL S.A.;1302603
201712;AM;MANAUS;BCO DO BRASIL S.A.;1302603
201712;AM;MANAUS;BCO DO BRASIL S.A.;1302603
201712;AM;MANAUS;BCO DO BRASIL S.A.;1302603
201712;AM;MANAUS;BCO DO BRASIL S.A.;1302603
201712;AM;MANAUS;BCO DO BRASIL S.A.;1302603
201712;AM;MANAUS;BCO DO BRASIL S.A.;1302603
201712;AM;MANAUS;BCO DO BRASIL S.A.;1302603
201712;AM;MANICORE;BCO DO BRASIL S.A.;1302702
201712;AM;MAUES;BCO DO BRASIL S.A.;1302900
201712;AM;PARINTINS;BCO DO BRASIL S.A.;1303403
201712;AM;PRESIDENTE FIGUEIREDO;BCO DO BRASIL S.A.;1303536
201712;AM;RIO PRETO DA EVA;BCO DO BRASIL S.A.;1303569
201712;AM;SAO GABRIEL DA CACHOEIRA;BCO DO BRASIL S.A.;1303809
201712;AM;TABATINGA;BCO DO BRASIL S.A.;1304062
201712;AM;TEFE;BCO DO BRASIL S.A.;1304203
201712;AP;AMAPA;BCO DO BRASIL S.A.;1600105
201712;AP;LARANJAL DO JARI;BCO DO BRASIL S.A.;1600279
