Ano;UF;MUNICIPIO;CODMUN_IBGE
201812;AC;ACRELANDIA;1200013
201812;AC;ASSIS BRASIL;1200054
201812;AC;BRASILEIA;1200104
201812;AC;BRASILEIA;1200104
201812;AC;BRASILEIA;1200104
201812;AC;BRASILEIA;1200104
201812;AC;BUJARI;1200138
201812;AC;CRUZEIRO DO SUL;1200203
201812;AC;CRUZEIRO DO SUL;1200203
201812;AC;CRUZEIRO DO SUL;1200203
201812;AC;CRUZEIRO DO SUL;1200203
201812;AC;CRUZEIRO DO SUL;1200203
201812;AC;EPITACIOLANDIA;1200252
201812;AC;FEIJO;1200302
201812;AC;FEIJO;1200302
201812;AC;FEIJO;1200302
201812;AC;MANCIO LIMA;1200336
201812;AC;MANOEL URBANO;1200344
201812;AC;PLACIDO DE CASTRO;1200385
201812;AC;PLACIDO DE CASTRO;1200385
201812;AC;PORTO ACRE;1200807
201812;AC;RIO BRANCO;1200401
201812;AC;RIO BRANCO;1200401
201812;AC;RIO BRANCO;1200401
201812;AC;RIO BRANCO;1200401
201812;AC;RIO BRANCO;1200401
201812;AC;RIO BRANCO;1200401
201812;AC;RIO BRANCO;1200401
201812;AC;RIO BRANCO;1200401
201812;AC;RIO BRANCO;1200401
201812;AC;RIO BRANCO;1200401
201812;AC;RIO BRANCO;1200401
201812;AC;RIO BRANCO;1200401
201812;AC;RIO BRANCO;1200401
201812;AC;RIO BRANCO;1200401
201812;AC;RIO BRANCO;1200401
201812;AC;RIO BRANCO;1200401
201812;AC;RIO BRANCO;1200401
201812;AC;RIO BRANCO;1200401
201812;AC;RIO BRANCO;1200401
201812;AC;RIO BRANCO;1200401
201812;AC;RIO BRANCO;1200401
201812;AC;RIO BRANCO;1200401
201812;AC;RIO BRANCO;1200401
201812;AC;RIO BRANCO;1200401
201812;AC;RIO BRANCO;1200401
201812;AC;SENA MADUREIRA;1200500
201812;AC;SENA MADUREIRA;1200500
201812;AC;SENA MADUREIRA;1200500
201812;AC;SENADOR GUIOMARD;1200450
201812;AC;SENADOR GUIOMARD;1200450
201812;AC;TARAUACA;1200609
201812;AC;TARAUACA;1200609
201812;AC;TARAUACA;1200609
201812;AC;XAPURI;1200708
201812;AC;XAPURI;1200708
