Ano;UF;CODMUN;MUNICIPIO;CODMUN_IBGE
202012;AC;50830;ACRELANDIA;1200013
202012;AC;35697;BRASILEIA;1200104
202012;AC;35680;CRUZEIRO DO SUL;1200203
202012;AC;35680;CRUZEIRO DO SUL;1200203
202012;AC;50964;EPITACIOLANDIA;1200252
202012;AC;15978;FEIJO;1200302
202012;AC;1030;MANCIO LIMA;1200336
202012;AC;29988;PLACIDO DE CASTRO;1200385
202012;AC;38955;RIO BRANCO;1200401
202012;AC;38955;RIO BRANCO;1200401
202012;AC;38955;RIO BRANCO;1200401
202012;AC;38955;RIO BRANCO;1200401
202012;AC;38955;RIO BRANCO;1200401
202012;AC;38955;RIO BRANCO;1200401
202012;AC;38955;RIO BRANCO;1200401
202012;AC;38955;RIO BRANCO;1200401
202012;AC;38955;RIO BRANCO;1200401
202012;AC;38955;RIO BRANCO;1200401
202012;AC;29074;SENA MADUREIRA;1200500
202012;AC;33730;SENADOR GUIOMARD;1200450
202012;AC;27478;TARAUACA;1200609
202012;AC;18690;XAPURI;1200708
202012;AL;29476;AGUA BRANCA;2700102
202012;AL;13413;ARAPIRACA;2700300
202012;AL;13413;ARAPIRACA;2700300
202012;AL;4491;ATALAIA;2700409
202012;AL;15215;BATALHA;2700706
202012;AL;35192;BOCA DA MATA;2701001
202012;AL;32999;CAMPO ALEGRE;2701407
202012;AL;35288;CORURIPE;2702306
202012;AL;24897;DELMIRO GOUVEIA;2702405
202012;AL;21072;GIRAU DO PONCIANO;2702900
202012;AL;2730;IGACI;2703106
202012;AL;25449;LIMOEIRO DE ANADIA;2704203
202012;AL;11257;MACEIO;2704302
202012;AL;11257;MACEIO;2704302
202012;AL;11257;MACEIO;2704302
202012;AL;11257;MACEIO;2704302
202012;AL;11257;MACEIO;2704302
202012;AL;11257;MACEIO;2704302
202012;AL;11257;MACEIO;2704302
202012;AL;11257;MACEIO;2704302
202012;AL;11257;MACEIO;2704302
202012;AL;11257;MACEIO;2704302
202012;AL;11257;MACEIO;2704302
202012;AL;11257;MACEIO;2704302
202012;AL;11257;MACEIO;2704302
202012;AL;11257;MACEIO;2704302
202012;AL;11257;MACEIO;2704302
202012;AL;11257;MACEIO;2704302
202012;AL;11257;MACEIO;2704302
202012;AL;23159;MAJOR ISIDORO;2704401
202012;AL;27423;MARAGOGI;2704500
202012;AL;36153;MURICI;2705507
202012;AL;27832;PALMEIRA DOS INDIOS;2706307
202012;AL;32308;PAO DE ACUCAR;2706406
202012;AL;8026;PENEDO;2706703
202012;AL;16458;PILAR;2706901
202012;AL;35116;PORTO CALVO;2707305
202012;AL;12115;RIO LARGO;2707701
202012;AL;23582;SANTANA DO IPANEMA;2708006
202012;AL;37231;SAO JOSE DA LAJE;2708303
202012;AL;1700;SAO JOSE DA TAPERA;2708402
202012;AL;7326;SAO LUIS DO QUITUNDE;2708501
202012;AL;10564;SAO MIGUEL DOS CAMPOS;2708600
202012;AL;19448;SAO SEBASTIAO;2708808
202012;AL;32676;TAQUARANA;2709103
202012;AL;43074;TEOTONIO VILELA;2709152
202012;AL;3423;UNIAO DOS PALMARES;2709301
202012;AL;8394;VICOSA;2709400
202012;AM;18360;AUTAZES;1300300
202012;AM;23434;BARCELOS;1300409
202012;AM;12737;BOCA DO ACRE;1300706
202012;AM;21553;BORBA;1300805
202012;AM;36816;CARAUARI;1301001
202012;AM;17165;COARI;1301209
202012;AM;34375;EIRUNEPE;1301407
202012;AM;22930;HUMAITA;1301704
