CodMun;REGIAO;COD UF;UF;NOME MUNIC;POP EST;CLASSE POP
1100015;1 - Norte;11;RO;Alta Floresta D'Oeste;25652;4 - 20001 até 50000
1100023;1 - Norte;11;RO;Ariquemes;102860;6 - 100001 até 500000
1100031;1 - Norte;11;RO;Cabixi;6424;2 - 5001 até 10000
1100049;1 - Norte;11;RO;Cacoal;86556;5 - 50001 até 100000
1100056;1 - Norte;11;RO;Cerejeiras;18013;3 - 10001 até 20000
1100064;1 - Norte;11;RO;Colorado do Oeste;19001;3 - 10001 até 20000
1100072;1 - Norte;11;RO;Corumbiara;8938;2 - 5001 até 10000
1100080;1 - Norte;11;RO;Costa Marques;16258;3 - 10001 até 20000
1100098;1 - Norte;11;RO;Espigão D'Oeste;32047;4 - 20001 até 50000
1100106;1 - Norte;11;RO;Guajará-Mirim;46203;4 - 20001 até 50000
1100114;1 - Norte;11;RO;Jaru;55669;5 - 50001 até 100000
1100122;1 - Norte;11;RO;Ji-Paraná;129242;6 - 100001 até 500000
1100130;1 - Norte;11;RO;Machadinho D'Oeste;36412;4 - 20001 até 50000
1100148;1 - Norte;11;RO;Nova Brasilândia D'Oeste;21511;4 - 20001 até 50000
1100155;1 - Norte;11;RO;Ouro Preto do Oeste;40010;4 - 20001 até 50000
1100189;1 - Norte;11;RO;Pimenta Bueno;37230;4 - 20001 até 50000
1100205;1 - Norte;11;RO;Porto Velho;494013;6 - 100001 até 500000
1100254;1 - Norte;11;RO;Presidente Médici;22783;4 - 20001 até 50000
1100262;1 - Norte;11;RO;Rio Crespo;3709;1 - Até 5000
1100288;1 - Norte;11;RO;Rolim de Moura;55807;5 - 50001 até 100000
1100296;1 - Norte;11;RO;Santa Luzia D'Oeste;8706;2 - 5001 até 10000
1100304;1 - Norte;11;RO;Vilhena;89797;5 - 50001 até 100000
1100320;1 - Norte;11;RO;São Miguel do Guaporé;23803;4 - 20001 até 50000
1100338;1 - Norte;11;RO;Nova Mamoré;26925;4 - 20001 até 50000
1100346;1 - Norte;11;RO;Alvorada D'Oeste;17228;3 - 10001 até 20000
1100379;1 - Norte;11;RO;Alto Alegre dos Parecis;13884;3 - 10001 até 20000
1100403;1 - Norte;11;RO;Alto Paraíso;19841;3 - 10001 até 20000
