CodMun;Regiao;UF;Cod UF;Mun;Populacao;Faixa_pop
1100015;1 - Norte;RO;11;Alta Floresta DOeste;22728;4 - 20001 até 50000
1100023;1 - Norte;RO;11;Ariquemes;109523;6 - 100001 até 500000
1100031;1 - Norte;RO;11;Cabixi;5188;2 - 5001 até 10000
1100049;1 - Norte;RO;11;Cacoal;85893;5 - 50001 até 100000
1100056;1 - Norte;RO;11;Cerejeiras;16204;3 - 10001 até 20000
1100064;1 - Norte;RO;11;Colorado do Oeste;15544;3 - 10001 até 20000
1100072;1 - Norte;RO;11;Corumbiara;7220;2 - 5001 até 10000
1100080;1 - Norte;RO;11;Costa Marques;18798;3 - 10001 até 20000
1100098;1 - Norte;RO;11;Espigão DOeste;32695;4 - 20001 até 50000
1100106;1 - Norte;RO;11;Guajará-Mirim;46556;4 - 20001 até 50000
1100114;1 - Norte;RO;11;Jaru;51620;5 - 50001 até 100000
1100122;1 - Norte;RO;11;Ji-Paraná;130009;6 - 100001 até 500000
1100130;1 - Norte;RO;11;Machadinho DOeste;40867;4 - 20001 até 50000
1100148;1 - Norte;RO;11;Nova Brasilândia DOeste;20489;4 - 20001 até 50000
1100155;1 - Norte;RO;11;Ouro Preto do Oeste;35737;4 - 20001 até 50000
1100189;1 - Norte;RO;11;Pimenta Bueno;36881;4 - 20001 até 50000
1100205;1 - Norte;RO;11;Porto Velho;539354;7 - Maior que 500000
1100254;1 - Norte;RO;11;Presidente Médici;18571;3 - 10001 até 20000
1100262;1 - Norte;RO;11;Rio Crespo;3804;1 - Até 5000
1100288;1 - Norte;RO;11;Rolim de Moura;55407;5 - 50001 até 100000
1100296;1 - Norte;RO;11;Santa Luzia DOeste;6216;2 - 5001 até 10000
1100304;1 - Norte;RO;11;Vilhena;102211;6 - 100001 até 500000
1100320;1 - Norte;RO;11;São Miguel do Guaporé;23077;4 - 20001 até 50000
1100338;1 - Norte;RO;11;Nova Mamoré;31392;4 - 20001 até 50000
1100346;1 - Norte;RO;11;Alvorada DOeste;14106;3 - 10001 até 20000
1100379;1 - Norte;RO;11;Alto Alegre dos Parecis;13255;3 - 10001 até 20000
1100403;1 - Norte;RO;11;Alto Paraíso;21847;4 - 20001 até 50000
1100452;1 - Norte;RO;11;Buritis;40356;4 - 20001 até 50000
1100502;1 - Norte;RO;11;Novo Horizonte do Oeste;8329;2 - 5001 até 10000
1100601;1 - Norte;RO;11;Cacaulândia;6269;2 - 5001 até 10000
1100700;1 - Norte;RO;11;Campo Novo de Rondônia;14266;3 - 10001 até 20000
1100809;1 - Norte;RO;11;Candeias do Jamari;27388;4 - 20001 até 50000
1100908;1 - Norte;RO;11;Castanheiras;2987;1 - Até 5000
1100924;1 - Norte;RO;11;Chupinguaia;11472;3 - 10001 até 20000
1100940;1 - Norte;RO;11;Cujubim;26183;4 - 20001 até 50000
1101005;1 - Norte;RO;11;Governador Jorge Teixeira;7445;2 - 5001 até 10000
1101104;1 - Norte;RO;11;Itapuã do Oeste;10641;3 - 10001 até 20000
1101203;1 - Norte;RO;11;Ministro Andreazza;9559;2 - 5001 até 10000
1101302;1 - Norte;RO;11;Mirante da Serra;10818;3 - 10001 até 20000
1101401;1 - Norte;RO;11;Monte Negro;16007;3 - 10001 até 20000
1101435;1 - Norte;RO;11;Nova União;6895;2 - 5001 até 10000
1101450;1 - Norte;RO;11;Parecis;6198;2 - 5001 até 10000
1101468;1 - Norte;RO;11;Pimenteiras do Oeste;2148;1 - Até 5000
1101476;1 - Norte;RO;11;Primavera de Rondônia;2776;1 - Até 5000
1101484;1 - Norte;RO;11;São Felipe DOeste;5066;2 - 5001 até 10000
1101492;1 - Norte;RO;11;São Francisco do Guaporé;20681;4 - 20001 até 50000
1101500;1 - Norte;RO;11;Seringueiras;11851;3 - 10001 até 20000
1101559;1 - Norte;RO;11;Teixeirópolis;4233;1 - Até 5000
1101609;1 - Norte;RO;11;Theobroma;10395;3 - 10001 até 20000
1101708;1 - Norte;RO;11;Urupá;11272;3 - 10001 até 20000
1101757;1 - Norte;RO;11;Vale do Anari;11377;3 - 10001 até 20000
1101807;1 - Norte;RO;11;Vale do Paraíso;6656;2 - 5001 até 10000
1200013;1 - Norte;AC;12;Acrelândia;15490;3 - 10001 até 20000
1200054;1 - Norte;AC;12;Assis Brasil;7534;2 - 5001 até 10000
1200104;1 - Norte;AC;12;Brasiléia;26702;4 - 20001 até 50000
1200138;1 - Norte;AC;12;Bujari;10420;3 - 10001 até 20000
1200179;1 - Norte;AC;12;Capixaba;12008;3 - 10001 até 20000
1200203;1 - Norte;AC;12;Cruzeiro do Sul;89072;5 - 50001 até 100000
1200252;1 - Norte;AC;12;Epitaciolândia;18696;3 - 10001 até 20000
1200302;1 - Norte;AC;12;Feijó;34884;4 - 20001 até 50000
1200328;1 - Norte;AC;12;Jordão;8473;2 - 5001 até 10000
1200336;1 - Norte;AC;12;Mâncio Lima;19311;3 - 10001 até 20000
1200344;1 - Norte;AC;12;Manoel Urbano;9581;2 - 5001 até 10000
1200351;1 - Norte;AC;12;Marechal Thaumaturgo;19299;3 - 10001 até 20000
1200385;1 - Norte;AC;12;Plácido de Castro;19955;3 - 10001 até 20000
1200393;1 - Norte;AC;12;Porto Walter;12241;3 - 10001 até 20000
1200401;1 - Norte;AC;12;Rio Branco;413418;6 - 100001 até 500000
1200427;1 - Norte;AC;12;Rodrigues Alves;19351;3 - 10001 até 20000
1200435;1 - Norte;AC;12;Santa Rosa do Purus;6717;2 - 5001 até 10000
1200450;1 - Norte;AC;12;Senador Guiomard;23236;4 - 20001 até 50000
1200500;1 - Norte;AC;12;Sena Madureira;46511;4 - 20001 até 50000
1200609;1 - Norte;AC;12;Tarauacá;43151;4 - 20001 até 50000
1200708;1 - Norte;AC;12;Xapuri;19596;3 - 10001 até 20000
1200807;1 - Norte;AC;12;Porto Acre;18824;3 - 10001 até 20000
1300029;1 - Norte;AM;13;Alvarães;16220;3 - 10001 até 20000
1300060;1 - Norte;AM;13;Amaturá;11736;3 - 10001 até 20000
1300086;1 - Norte;AM;13;Anamã;13956;3 - 10001 até 20000
1300102;1 - Norte;AM;13;Anori;21477;4 - 20001 até 50000
1300144;1 - Norte;AM;13;Apuí;22359;4 - 20001 até 50000
1300201;1 - Norte;AM;13;Atalaia do Norte;20398;4 - 20001 até 50000
1300300;1 - Norte;AM;13;Autazes;40290;4 - 20001 até 50000
1300409;1 - Norte;AM;13;Barcelos;27638;4 - 20001 até 50000
1300508;1 - Norte;AM;13;Barreirinha;32483;4 - 20001 até 50000
1300607;1 - Norte;AM;13;Benjamin Constant;43935;4 - 20001 até 50000
1300631;1 - Norte;AM;13;Beruri;20093;4 - 20001 até 50000
1300680;1 - Norte;AM;13;Boa Vista do Ramos;19626;3 - 10001 até 20000
1300706;1 - Norte;AM;13;Boca do Acre;34635;4 - 20001 até 50000
1300805;1 - Norte;AM;13;Borba;41748;4 - 20001 até 50000
1300839;1 - Norte;AM;13;Caapiranga;13283;3 - 10001 até 20000
1300904;1 - Norte;AM;13;Canutama;15807;3 - 10001 até 20000
1301001;1 - Norte;AM;13;Carauari;28508;4 - 20001 até 50000
1301100;1 - Norte;AM;13;Careiro;38348;4 - 20001 até 50000
1301159;1 - Norte;AM;13;Careiro da Várzea;30846;4 - 20001 até 50000
1301209;1 - Norte;AM;13;Coari;85910;5 - 50001 até 100000
1301308;1 - Norte;AM;13;Codajás;29168;4 - 20001 até 50000
1301407;1 - Norte;AM;13;Eirunepé;35700;4 - 20001 até 50000
1301506;1 - Norte;AM;13;Envira;20393;4 - 20001 até 50000
1301605;1 - Norte;AM;13;Fonte Boa;17005;3 - 10001 até 20000
1301654;1 - Norte;AM;13;Guajará;16937;3 - 10001 até 20000
1301704;1 - Norte;AM;13;Humaitá;56144;5 - 50001 até 100000
1301803;1 - Norte;AM;13;Ipixuna;30436;4 - 20001 até 50000
1301852;1 - Norte;AM;13;Iranduba;49011;4 - 20001 até 50000
1301902;1 - Norte;AM;13;Itacoatiara;102701;6 - 100001 até 500000
1301951;1 - Norte;AM;13;Itamarati;7814;2 - 5001 até 10000
1302009;1 - Norte;AM;13;Itapiranga;9230;2 - 5001 até 10000
1302108;1 - Norte;AM;13;Japurá;2251;1 - Até 5000
1302207;1 - Norte;AM;13;Juruá;15106;3 - 10001 até 20000
1302306;1 - Norte;AM;13;Jutaí;13886;3 - 10001 até 20000
1302405;1 - Norte;AM;13;Lábrea;46882;4 - 20001 até 50000
1302504;1 - Norte;AM;13;Manacapuru;98502;5 - 50001 até 100000
1302553;1 - Norte;AM;13;Manaquiri;33049;4 - 20001 até 50000
1302603;1 - Norte;AM;13;Manaus;2219580;7 - Maior que 500000
1302702;1 - Norte;AM;13;Manicoré;56583;5 - 50001 até 100000
1302801;1 - Norte;AM;13;Maraã;18261;3 - 10001 até 20000
1302900;1 - Norte;AM;13;Maués;65040;5 - 50001 até 100000
1303007;1 - Norte;AM;13;Nhamundá;21443;4 - 20001 até 50000
1303106;1 - Norte;AM;13;Nova Olinda do Norte;38026;4 - 20001 até 50000
1303205;1 - Norte;AM;13;Novo Airão;19928;3 - 10001 até 20000
1303304;1 - Norte;AM;13;Novo Aripuanã;26046;4 - 20001 até 50000
1303403;1 - Norte;AM;13;Parintins;115363;6 - 100001 até 500000
1303502;1 - Norte;AM;13;Pauini;19522;3 - 10001 até 20000
1303536;1 - Norte;AM;13;Presidente Figueiredo;37193;4 - 20001 até 50000
1303569;1 - Norte;AM;13;Rio Preto da Eva;34106;4 - 20001 até 50000
1303601;1 - Norte;AM;13;Santa Isabel do Rio Negro;25865;4 - 20001 até 50000
1303700;1 - Norte;AM;13;Santo Antônio do Içá;21243;4 - 20001 até 50000
1303809;1 - Norte;AM;13;São Gabriel da Cachoeira;46303;4 - 20001 até 50000
1303908;1 - Norte;AM;13;São Paulo de Olivença;40073;4 - 20001 até 50000
1303957;1 - Norte;AM;13;São Sebastião do Uatumã;14352;3 - 10001 até 20000
1304005;1 - Norte;AM;13;Silves;9230;2 - 5001 até 10000
1304062;1 - Norte;AM;13;Tabatinga;67182;5 - 50001 até 100000
1304104;1 - Norte;AM;13;Tapauá;17015;3 - 10001 até 20000
1304203;1 - Norte;AM;13;Tefé;59547;5 - 50001 até 100000
1304237;1 - Norte;AM;13;Tonantins;18897;3 - 10001 até 20000
1304260;1 - Norte;AM;13;Uarini;13690;3 - 10001 até 20000
1304302;1 - Norte;AM;13;Urucará;16130;3 - 10001 até 20000
1304401;1 - Norte;AM;13;Urucurituba;23585;4 - 20001 até 50000
1400027;1 - Norte;RR;14;Amajari;13185;3 - 10001 até 20000
1400050;1 - Norte;RR;14;Alto Alegre;15380;3 - 10001 até 20000
1400100;1 - Norte;RR;14;Boa Vista;419652;6 - 100001 até 500000
1400159;1 - Norte;RR;14;Bonfim;12557;3 - 10001 até 20000
1400175;1 - Norte;RR;14;Cantá;18799;3 - 10001 até 20000
1400209;1 - Norte;RR;14;Caracaraí;22283;4 - 20001 até 50000
1400233;1 - Norte;RR;14;Caroebe;10383;3 - 10001 até 20000
1400282;1 - Norte;RR;14;Iracema;12296;3 - 10001 até 20000
1400308;1 - Norte;RR;14;Mucajaí;18172;3 - 10001 até 20000
1400407;1 - Norte;RR;14;Normandia;11532;3 - 10001 até 20000
1400456;1 - Norte;RR;14;Pacaraima;18913;3 - 10001 até 20000
1400472;1 - Norte;RR;14;Rorainópolis;30782;4 - 20001 até 50000
